symbol,time,open_time,score,grade,tf,change_24h,entry,mfe12,mae12,ret12,atr_exp,bar_chg_pct,breakout,breakout_pct,btc,candle,ema,ema_aligned,is_late,rsi,rsi_raw,squeeze,taker,taker_buy,vol,vol_ratio,vs_btc_pct
AAVEUSDT,2026-09-09 09:15,1788934500000,59.14,watch,5m,-1.075,129.78,0.293,0.092,0.123,0.7695,0.193,0.0,-0.3532,0.2905,0.9885,1.0,1,0,0.8865,60.043,1.0,1.0,0.91771,0.0,0.431,0.2809
AAVEUSDT,2026-09-09 11:05,1788941100000,73.75,strong,15m,-0.406,130.07,0.7,0.338,0.438,1.0729,0.1771,0.0,-0.2989,0.0828,0.8842,1.0,1,0,0.9724,58.497,1.0,1.0,0.89918,0.6319,3.7307,-0.1345
AAVEUSDT,2026-09-09 17:25,1788963900000,59.04,watch,5m,1.172,130.3,-1.45,-2.394,-1.512,1.9333,0.6566,0.0,-0.2679,0.4092,1.0,1.0,1,0,0.9604,58.713,1.0,0.9417,0.76485,0.0,0.6774,0.5184
AAVEUSDT,2026-09-10 05:35,1789007700000,59.0,watch,5m,-3.294,124.78,0.248,0.056,0.232,0.7168,0.1123,0.0,0.1043,0.2777,0.8962,1.0,1,0,0.9908,57.835,1.0,1.0,0.8393,0.0,0.5874,0.2554
AAVEUSDT,2026-09-10 06:45,1789011900000,58.36,watch,15m,-1.909,125.91,-0.461,-0.619,-0.58,0.7625,0.3427,0.2,0.2708,0.5613,0.975,1.0,1,0,0.9262,56.671,1.0,0.7978,0.72743,0.0,0.2927,0.8227
AAVEUSDT,2026-09-10 08:55,1789019700000,58.92,watch,5m,-2.866,125.39,-0.319,-0.423,-0.407,0.9099,0.1118,0.0,-0.0558,0.1716,0.9538,1.0,1,0,0.835,55.03,1.0,0.5396,0.66029,0.446,2.5379,0.0432
AAVEUSDT,2026-09-10 10:05,1789023900000,66.53,late,5m,-4.595,124.38,0.056,-0.346,0.016,0.9459,-0.0402,0.0,-0.845,0.0364,0.3185,0.3,0,1,0.0,39.152,1.0,1.0,0.86184,1.0,6.1352,-0.2272
AAVEUSDT,2026-09-10 10:45,1789026300000,66.23,watch,5m,-4.529,123.75,0.63,0.485,0.549,0.6636,0.1214,0.0,-1.1345,0.0,0.9526,0.3,0,0,0.0,34.238,1.0,1.0,0.95844,0.7402,5.2176,-0.401
AAVEUSDT,2026-09-10 13:00,1789034400000,69.73,watch,5m,-3.814,123.84,-0.711,-0.985,-0.88,1.4854,0.097,0.0,-0.6737,0.0903,0.8667,0.3,0,0,0.0,38.766,1.0,0.8865,0.75048,1.0,4.5922,-0.1194
AAVEUSDT,2026-09-10 14:30,1789039800000,69.33,late,5m,-4.501,123.28,0.073,-0.738,-0.616,0.9339,-0.0081,0.0,-0.2992,0.1673,0.2259,0.3,0,1,0.4,43.952,1.0,1.0,0.81151,1.0,5.0243,0.0347
