min_score,pullback_pct,timeout_bars,tp_pct,sl_pct,trailing_act,trailing_dist,total_signals,filled_trades,fill_rate_pct,win_rate_pct,net_pnl_pct,profit_factor,expectancy_pct,max_dd_pct,oos_win_rate_pct,oos_net_pnl_pct,score_metric
75.0,1.0,3,0.8,3.0,1.2,0.4,44989,466,0.9,90.1,283.90,3.74,0.617,9.54,88.5,108.65,90.02
75.0,1.0,4,0.8,3.0,2.0,0.6,44989,537,1.1,89.4,251.34,3.14,0.499,8.17,87.6,84.34,90.01
65.0,1.0,4,0.7,3.0,1.5,0.5,44989,985,2.0,91.0,398.53,2.61,0.389,8.72,91.4,159.54,89.98
55.0,1.0,2,0.8,3.0,2.0,0.6,44989,1066,2.1,91.4,463.75,2.72,0.422,9.95,91.7,187.64,89.85
65.0,1.0,2,0.8,2.5,1.2,0.4,44989,613,1.2,89.7,341.55,3.01,0.525,9.06,90.1,147.38,89.72
60.0,1.0,2,0.8,3.0,1.5,0.5,44989,744,1.4,91.3,377.03,3.00,0.489,9.60,91.1,155.93,89.66
65.0,1.0,4,0.7,3.5,2.0,0.6,44989,985,2.0,92.1,378.94,2.66,0.369,8.37,92.7,152.02,89.60
55.0,1.0,2,0.8,3.5,2.0,0.6,44989,1066,2.1,92.6,496.44,3.15,0.462,11.22,92.7,193.96,89.55
75.0,0.8,4,0.7,3.0,1.5,0.5,44989,712,1.4,91.0,308.39,3.08,0.423,8.13,90.3,120.97,89.18
75.0,0.8,2,0.7,1.5,1.2,0.4,44989,493,0.9,85.2,203.71,2.54,0.385,5.33,84.8,90.27,89.15
75.0,1.0,4,0.7,3.5,2.5,0.8,44989,537,1.1,92.6,217.62,3.30,0.417,6.98,92.1,77.83,88.86
60.0,1.0,2,0.7,3.0,2.5,0.8,44989,744,1.4,93.4,296.14,3.09,0.390,7.72,93.5,120.02,88.72
55.0,1.0,2,0.7,3.5,2.0,0.6,44989,1066,2.1,94.5,471.38,3.86,0.447,11.22,94.2,178.79,88.62
60.0,1.0,2,1.0,3.5,1.2,0.4,44989,744,1.4,87.9,384.02,2.55,0.519,10.05,87.3,149.45,88.17
60.0,1.0,2,1.0,3.0,2.0,0.6,44989,744,1.4,86.7,347.93,2.33,0.472,8.98,86.0,134.55,87.69
65.0,1.0,4,0.8,3.0,1.5,0.5,44989,985,2.0,88.2,386.95,2.35,0.401,9.05,87.6,140.35,87.66
75.0,0.8,4,0.7,3.5,1.2,0.4,44989,712,1.4,91.9,347.09,3.53,0.476,9.53,91.4,136.23,87.65
